#group,false,false,false,false,false,false,false,false
#datatype,string,double,string,double,double,double,dateTime:RFC3339,long
#default,,,,,,,,
,device,humidity,location,noise_db,pressure,temperature,time,wifi_rssi
,heltec_v3,33.92,window,68.17,1014.65,22.03,2026-03-06T01:10:28.934913233Z,-71
,heltec_v3,33.91,window,63.46,1014.64,21.95,2026-03-06T01:10:59.562691294Z,-72
,heltec_v3,34.6,window,67.37,1014.66,21.91,2026-03-06T01:11:30.181673841Z,-74
,heltec_v3,34.39,window,60.69,1014.67,21.89,2026-03-06T01:12:00.82961392Z,-74
,heltec_v3,34.33,window,63.02,1014.69,21.84,2026-03-06T01:12:31.443142199Z,-72
,heltec_v3,34.4,window,66.32,1014.7,21.8,2026-03-06T01:13:02.048033737Z,-72
,heltec_v3,34.5,window,62.73,1014.76,21.76,2026-03-06T01:13:32.662391384Z,-72
,heltec_v3,34.74,window,62.79,1014.74,21.71,2026-03-06T01:14:03.281597603Z,-72
,heltec_v3,34.63,window,63.91,1014.76,21.68,2026-03-06T01:14:33.87683712Z,-71
,heltec_v3,34.81,window,63.43,1014.74,21.69,2026-03-06T01:15:04.466421768Z,-71
,heltec_v3,34.72,window,61.97,1014.76,21.66,2026-03-06T01:15:35.079425235Z,-73
,heltec_v3,34.78,window,66.23,1014.78,21.6,2026-03-06T01:16:05.701004707Z,-72
,heltec_v3,34.82,window,62.98,1014.79,21.59,2026-03-06T01:16:36.321910841Z,-70
,heltec_v3,34.88,window,71.26,1014.77,21.59,2026-03-06T01:17:06.92847536Z,-69
,heltec_v3,34.92,window,71.59,1014.78,21.58,2026-03-06T01:17:37.524752497Z,-73
,heltec_v3,35.25,window,66.59,1014.77,21.61,2026-03-06T01:18:08.105816222Z,-74
,heltec_v3,54.17,window,73.12,1024.23,15.02,2026-03-08T00:00:08.956902581Z,-43
,heltec_v3,54.46,window,70.09,1024.26,14.86,2026-03-08T00:00:39.608506481Z,-41
,heltec_v3,55.13,window,67.91,1024.27,14.83,2026-03-08T00:01:10.271132265Z,-42
,heltec_v3,54.5,window,66.22,1024.22,15.25,2026-03-08T00:01:40.92367453Z,-41
,heltec_v3,53.78,window,66.34,1024.23,15,2026-03-08T00:02:11.573066543Z,-41
,heltec_v3,54.92,window,69.94,1024.26,14.81,2026-03-08T00:02:42.262147061Z,-41
,heltec_v3,55.07,window,68.77,1024.23,14.86,2026-03-08T00:03:12.9397145Z,-42
,heltec_v3,54.53,window,68.92,1024.25,14.74,2026-03-08T00:03:43.600797428Z,-41
,heltec_v3,54.96,window,70,1024.24,14.67,2026-03-08T00:04:14.259652816Z,-41
,heltec_v3,55.94,window,67.18,1024.2,14.45,2026-03-08T00:04:44.923724564Z,-42
,heltec_v3,56,window,69.14,1024.26,14.51,2026-03-08T00:05:15.587412046Z,-44
,heltec_v3,55.66,window,67.43,1024.25,14.71,2026-03-08T00:05:46.213655557Z,-43
,heltec_v3,55.49,window,69.18,1024.21,14.58,2026-03-08T00:06:16.883650746Z,-39
,heltec_v3,55.9,window,68.37,1024.27,14.39,2026-03-08T00:06:47.512919819Z,-42
,heltec_v3,56.2,window,67.78,1024.24,14.37,2026-03-08T00:07:18.186117691Z,-42
,heltec_v3,56.6,window,67.78,1024.21,14.3,2026-03-08T00:07:48.803611979Z,-43
,heltec_v3,57.23,window,67.54,1024.21,14.07,2026-03-08T00:08:19.485911872Z,-43
,heltec_v3,56.89,window,68.14,1024.23,14.34,2026-03-08T00:08:50.107587533Z,-42
,heltec_v3,56.96,window,70.53,1024.19,14.26,2026-03-08T00:09:20.750569998Z,-42
,heltec_v3,57.09,window,70.31,1024.18,14.29,2026-03-08T00:09:51.463747906Z,-41
,heltec_v3,56.24,window,68.61,1024.18,14.47,2026-03-08T00:10:22.134635429Z,-42
,heltec_v3,55.67,window,66.22,1024.18,14.54,2026-03-08T00:10:52.7940985Z,-43
,heltec_v3,55.79,window,68.19,1024.19,14.49,2026-03-08T00:11:23.460764019Z,-42
,heltec_v3,56.8,window,66.9,1024.15,14.28,2026-03-08T00:11:54.240514003Z,-42
,heltec_v3,56.39,window,66.85,1024.17,14.19,2026-03-08T00:12:24.905548504Z,-42
,heltec_v3,56.42,window,67.76,1024.18,14.3,2026-03-08T00:12:55.571551386Z,-42
,heltec_v3,56.39,window,74.72,1024.17,14.31,2026-03-08T00:13:26.212901255Z,-42
,heltec_v3,56.59,window,71.45,1024.15,14.27,2026-03-08T00:13:56.854167437Z,-42
,heltec_v3,56.85,window,66.86,1024.14,14.22,2026-03-08T00:14:27.557469801Z,-43
,heltec_v3,56.62,window,63.88,1024.18,14.17,2026-03-08T00:14:58.36506562Z,-45
,heltec_v3,56.52,window,69.31,1024.16,14.3,2026-03-08T00:15:28.988599112Z,-42
,heltec_v3,56.65,window,67.8,1024.18,14.4,2026-03-08T00:15:59.645037907Z,-42
,heltec_v3,57,window,69.16,1024.13,14.37,2026-03-08T00:16:30.284397189Z,-42
,heltec_v3,57.09,window,68.81,1024.17,14.22,2026-03-08T00:17:00.941362287Z,-42
,heltec_v3,57.3,window,67.49,1024.17,14.11,2026-03-08T00:17:31.560706594Z,-42
,heltec_v3,56.64,window,70.86,1024.14,14.35,2026-03-08T00:18:02.216748765Z,-42
,heltec_v3,57.05,window,69.83,1024.13,14.49,2026-03-08T00:18:32.967871304Z,-42
,heltec_v3,56.08,window,74.4,1024.14,14.41,2026-03-08T00:19:03.719151635Z,-42
,heltec_v3,56.31,window,69.01,1024.15,14.46,2026-03-08T00:19:34.423421981Z,-42
,heltec_v3,56.32,window,69.15,1024.12,14.37,2026-03-08T00:20:05.128964448Z,-42
,heltec_v3,56.2,window,65.96,1024.11,14.43,2026-03-08T00:20:36.044998629Z,-42
,heltec_v3,56.91,window,63.21,1024.14,14.34,2026-03-08T00:21:06.803264471Z,-42
,heltec_v3,56.62,window,65.85,1024.13,14.28,2026-03-08T00:21:37.457631307Z,-43
,heltec_v3,56.53,window,63.47,1024.12,14.52,2026-03-08T00:22:08.144120946Z,-42
,heltec_v3,56.64,window,65.71,1024.1,14.41,2026-03-08T00:22:38.80931354Z,-42
,heltec_v3,56.05,window,65.74,1024.11,14.4,2026-03-08T00:23:09.478382074Z,-43
,heltec_v3,57.67,window,65.99,1024.09,14.19,2026-03-08T00:23:40.147517464Z,-42
,heltec_v3,57.88,window,64.59,1024.1,13.97,2026-03-08T00:24:10.790923371Z,-42
,heltec_v3,58.15,window,65.3,1024.07,13.87,2026-03-08T00:24:41.435644806Z,-43
,heltec_v3,59.03,window,63.55,1024.04,13.71,2026-03-08T00:25:12.086941756Z,-43
,heltec_v3,59.14,window,64.68,1024.06,13.73,2026-03-08T00:25:42.735611273Z,-41
,heltec_v3,58.89,window,64.71,1024.02,13.77,2026-03-08T00:26:13.394935325Z,-42
,heltec_v3,59.42,window,64.55,1024.05,13.8,2026-03-08T00:26:44.034117679Z,-42
,heltec_v3,59.23,window,65.63,1024.01,13.73,2026-03-08T00:27:14.679733679Z,-42
,heltec_v3,58.71,window,76.25,1024.03,13.82,2026-03-08T00:27:45.299792303Z,-43
,heltec_v3,58.03,window,65.51,1024.02,14.19,2026-03-08T00:28:15.98382111Z,-42
,heltec_v3,57.59,window,64.63,1024.02,14.23,2026-03-08T00:28:46.725784079Z,-42
,heltec_v3,58.11,window,67.44,1024.02,14.46,2026-03-08T00:29:17.418147205Z,-42
,heltec_v3,56.84,window,68.9,1024.04,14.68,2026-03-08T00:29:48.087068996Z,-42
,heltec_v3,56.09,window,65.8,1024.06,14.55,2026-03-08T00:30:18.730983801Z,-43
,heltec_v3,57.21,window,67.59,1023.95,14.38,2026-03-08T00:30:49.422357779Z,-42
,heltec_v3,56.31,window,67.28,1023.99,14.53,2026-03-08T00:31:20.079073598Z,-42
,heltec_v3,56.82,window,61.67,1023.97,14.31,2026-03-08T00:31:50.719610494Z,-43
,heltec_v3,56.8,window,71.48,1024,14.47,2026-03-08T00:32:21.360709172Z,-42
,heltec_v3,56.65,window,65.57,1023.97,14.49,2026-03-08T00:32:52.029719013Z,-42
,heltec_v3,56.34,window,67.08,1023.95,14.81,2026-03-08T00:33:22.676593651Z,-42
,heltec_v3,55.54,window,65.36,1024,14.78,2026-03-08T00:33:53.328448032Z,-42
,heltec_v3,56.37,window,64.23,1023.96,14.66,2026-03-08T00:34:23.993254685Z,-42
,heltec_v3,56.61,window,66.44,1023.99,14.62,2026-03-08T00:34:54.6586405Z,-43
,heltec_v3,55.85,window,64.55,1023.88,15.01,2026-03-08T00:35:25.328533269Z,-42
,heltec_v3,55.34,window,63.6,1023.96,14.96,2026-03-08T00:35:55.976218008Z,-43
,heltec_v3,55.59,window,67.55,1023.95,14.73,2026-03-08T00:36:26.624911874Z,-42
,heltec_v3,55.39,window,67.1,1023.89,15.04,2026-03-08T00:36:57.278072687Z,-42
,heltec_v3,55.2,window,68.47,1023.96,14.74,2026-03-08T00:37:27.922988311Z,-43
,heltec_v3,55.07,window,65.67,1023.97,14.78,2026-03-08T00:37:58.624747985Z,-44
,heltec_v3,55.08,window,69.13,1023.97,15.35,2026-03-08T00:38:29.279608322Z,-42
,heltec_v3,53.7,window,67.2,1023.99,15.17,2026-03-08T00:38:59.938003064Z,-43
,heltec_v3,54.18,window,68.54,1023.98,15.49,2026-03-08T00:39:30.590571054Z,-42
,heltec_v3,53.3,window,68,1023.95,15.35,2026-03-08T00:40:01.239042452Z,-42
,heltec_v3,53.49,window,68.38,1023.94,15.28,2026-03-08T00:40:31.86800032Z,-42
,heltec_v3,54.16,window,65.24,1023.93,15.5,2026-03-08T00:41:02.52591746Z,-43
,heltec_v3,53.39,window,65.92,1023.96,15.11,2026-03-08T00:41:33.170623165Z,-42
,heltec_v3,54.22,window,66.7,1023.94,15.35,2026-03-08T00:42:03.837357985Z,-42
,heltec_v3,53.59,window,64.86,1023.97,15.41,2026-03-08T00:42:34.473864769Z,-42
,heltec_v3,53.97,window,64.09,1023.95,15.1,2026-03-08T00:43:05.146987108Z,-41
,heltec_v3,53.82,window,65.79,1023.94,15.2,2026-03-08T00:43:35.800318055Z,-43
,heltec_v3,53.96,window,63.72,1023.91,15.15,2026-03-08T00:44:06.448350873Z,-42
,heltec_v3,54.63,window,68.76,1023.94,15.24,2026-03-08T00:44:37.085554189Z,-43
,heltec_v3,53.62,window,65.6,1023.92,15.41,2026-03-08T00:45:07.752941834Z,-43
,heltec_v3,53.6,window,63.81,1023.93,15.68,2026-03-08T00:45:38.40216436Z,-42
,heltec_v3,52.71,window,62.76,1023.9,15.35,2026-03-08T00:46:09.077690476Z,-42
,heltec_v3,53.32,window,67.31,1023.88,15.61,2026-03-08T00:46:39.730036476Z,-43
,heltec_v3,52.88,window,63.27,1023.92,15.54,2026-03-08T00:47:10.363455207Z,-43
,heltec_v3,53.81,window,73.58,1023.92,15.1,2026-03-08T00:47:41.034571682Z,-41
,heltec_v3,53.95,window,65.71,1023.91,15,2026-03-08T00:48:11.680481617Z,-42
,heltec_v3,54.11,window,66.2,1023.95,15.08,2026-03-08T00:48:42.339986992Z,-42
,heltec_v3,53.99,window,66.8,1023.92,15.23,2026-03-08T00:49:12.980788001Z,-42
,heltec_v3,54.48,window,67.24,1023.96,14.8,2026-03-08T00:49:43.636046744Z,-42
,heltec_v3,54.91,window,69.71,1023.97,14.95,2026-03-08T00:50:14.295232174Z,-43
,heltec_v3,53.98,window,67.04,1023.98,15.09,2026-03-08T00:50:44.947229907Z,-44
,heltec_v3,54.06,window,65.47,1023.96,14.83,2026-03-08T00:51:15.584107451Z,-43
,heltec_v3,54.51,window,67.16,1023.96,14.75,2026-03-08T00:51:46.23776182Z,-43
,heltec_v3,54.74,window,66.99,1023.95,14.84,2026-03-08T00:52:16.877670393Z,-41
,heltec_v3,55.3,window,65.8,1023.99,14.7,2026-03-08T00:52:47.521321122Z,-42
,heltec_v3,55.47,window,67.01,1023.98,15,2026-03-08T00:53:18.193724647Z,-42
,heltec_v3,54.75,window,64.87,1023.98,15.34,2026-03-08T00:53:48.815768348Z,-43
,heltec_v3,54.3,window,65.68,1023.97,15.16,2026-03-08T00:54:19.464212455Z,-41
,heltec_v3,53.8,window,66.39,1024,15.07,2026-03-08T00:54:50.115011385Z,-43
,heltec_v3,54.37,window,66.86,1023.98,15.3,2026-03-08T00:55:20.75059104Z,-41
,heltec_v3,53.7,window,69.53,1023.97,15.16,2026-03-08T00:55:51.383982965Z,-43
,heltec_v3,53.41,window,71.01,1023.92,15.06,2026-03-08T00:56:22.056889291Z,-41
,heltec_v3,54.25,window,65.16,1023.92,14.95,2026-03-08T00:56:52.709973201Z,-43
,heltec_v3,54.9,window,66.85,1023.91,14.94,2026-03-08T00:57:23.371791904Z,-41
,heltec_v3,54.49,window,64.31,1023.93,15.05,2026-03-08T00:57:54.038996344Z,-41
,heltec_v3,54.25,window,67.2,1023.94,15.16,2026-03-08T00:58:24.697423401Z,-42
,heltec_v3,53.05,window,68.07,1023.94,15.28,2026-03-08T00:58:55.35707865Z,-42
,heltec_v3,53.29,window,65.76,1023.96,15.43,2026-03-08T00:59:25.995385503Z,-43
,heltec_v3,53.5,window,66.25,1023.93,15.38,2026-03-08T00:59:56.646622909Z,-42
,heltec_v3,53.43,window,67.45,1023.99,15.24,2026-03-08T01:00:27.307745483Z,-43
,heltec_v3,53.77,window,66.11,1023.93,14.9,2026-03-08T01:00:57.982112515Z,-43
,heltec_v3,54.15,window,66.14,1023.93,15.07,2026-03-08T01:01:28.684480408Z,-43
,heltec_v3,54.2,window,65.54,1023.95,14.96,2026-03-08T01:01:59.325497086Z,-43
,heltec_v3,54.07,window,65.36,1023.98,15.27,2026-03-08T01:02:29.975875717Z,-43
,heltec_v3,53.91,window,67.28,1023.95,15.15,2026-03-08T01:03:00.637829745Z,-43
,heltec_v3,54.47,window,64.83,1023.96,14.95,2026-03-08T01:03:31.300091551Z,-44
,heltec_v3,54.64,window,65.71,1023.95,15.26,2026-03-08T01:04:01.94884658Z,-41
,heltec_v3,54.57,window,66.23,1023.95,15.21,2026-03-08T01:04:32.622323Z,-43
,heltec_v3,53.17,window,65.81,1023.98,15.33,2026-03-08T01:05:03.274255863Z,-42
,heltec_v3,53.72,window,69.56,1023.98,14.92,2026-03-08T01:05:33.937042592Z,-44
,heltec_v3,55.22,window,69.5,1023.99,14.81,2026-03-08T01:06:04.626317694Z,-42
,heltec_v3,54.78,window,64.19,1024,15.18,2026-03-08T01:06:35.25566158Z,-44
,heltec_v3,55.11,window,63.87,1024.01,14.69,2026-03-08T01:07:06.189334343Z,-43
,heltec_v3,55.63,window,61,1023.97,14.87,2026-03-08T01:07:36.893869124Z,-42
,heltec_v3,54.12,window,66.59,1024,15.19,2026-03-08T01:08:07.553111437Z,-43
,heltec_v3,54.63,window,66.72,1023.92,15.48,2026-03-08T01:08:38.201726934Z,-43
,heltec_v3,53.58,window,67.6,1023.93,15.75,2026-03-08T01:09:08.840025739Z,-43
,heltec_v3,53.14,window,67.71,1023.91,15.72,2026-03-08T01:09:39.443158828Z,-43
,heltec_v3,53.11,window,66.71,1023.91,15.8,2026-03-08T01:10:10.105169435Z,-43
,heltec_v3,52.47,window,66.68,1023.84,15.94,2026-03-08T01:10:40.741706394Z,-43
,heltec_v3,51.95,window,66.7,1023.84,16.01,2026-03-08T01:11:11.377066092Z,-43
,heltec_v3,52.09,window,65.09,1023.88,15.75,2026-03-08T01:11:42.027191181Z,-43
,heltec_v3,52.51,window,65.82,1023.88,15.42,2026-03-08T01:12:12.684709312Z,-44
,heltec_v3,53.96,window,69.89,1023.9,15.25,2026-03-08T01:12:43.331434322Z,-42
,heltec_v3,53.47,window,68.05,1023.9,15.02,2026-03-08T01:13:14.003128773Z,-42
,heltec_v3,54.94,window,70.91,1023.9,14.87,2026-03-08T01:13:44.663863105Z,-35
,heltec_v3,54.54,window,68.36,1023.92,14.68,2026-03-08T01:14:15.34235503Z,-43
,heltec_v3,55.11,window,71.07,1023.93,14.81,2026-03-08T01:14:45.994393266Z,-42
,heltec_v3,54.25,window,69.09,1023.9,15.33,2026-03-08T01:15:16.672336672Z,-41
,heltec_v3,54.29,window,66.51,1023.88,15.05,2026-03-08T01:15:47.325442308Z,-43
,heltec_v3,54.23,window,67.14,1023.87,15,2026-03-08T01:16:17.969026047Z,-43
,heltec_v3,55.41,window,66.73,1023.92,14.54,2026-03-08T01:16:48.62757182Z,-42
,heltec_v3,55.19,window,66.82,1023.98,14.61,2026-03-08T01:17:19.279831331Z,-43
,heltec_v3,54.9,window,66.36,1023.94,15.17,2026-03-08T01:17:49.939506151Z,-42
,heltec_v3,55.01,window,66.95,1023.9,15.02,2026-03-08T01:18:20.606068081Z,-43
,heltec_v3,54.09,window,66.75,1023.87,15.44,2026-03-08T01:18:51.236052072Z,-43
,heltec_v3,53.57,window,69.73,1023.9,15.28,2026-03-08T01:19:21.8908417Z,-42
,heltec_v3,53.84,window,67.71,1023.82,15.47,2026-03-08T01:19:52.538998673Z,-43
,heltec_v3,53.63,window,68.75,1023.85,15.7,2026-03-08T01:20:23.176402065Z,-41
,heltec_v3,53.06,window,69.03,1023.86,15.59,2026-03-08T01:20:53.821248707Z,-43
,heltec_v3,52.9,window,68.21,1023.78,16.01,2026-03-08T01:21:24.461526545Z,-43
,heltec_v3,51.95,window,67.59,1023.74,15.99,2026-03-08T01:21:55.105230688Z,-43
,heltec_v3,52.19,window,67.75,1023.82,15.39,2026-03-08T01:22:25.767884369Z,-43
,heltec_v3,53.43,window,67.82,1023.78,15.16,2026-03-08T01:22:56.411234039Z,-43
,heltec_v3,53.25,window,69.86,1023.78,15.14,2026-03-08T01:23:27.075676124Z,-42
,heltec_v3,53.61,window,72.13,1023.78,14.85,2026-03-08T01:23:57.716216151Z,-43
,heltec_v3,55.8,window,65.4,1023.81,14.57,2026-03-08T01:24:28.405571871Z,-42
,heltec_v3,55.22,window,67.31,1023.79,14.98,2026-03-08T01:24:59.044597839Z,-43
,heltec_v3,53.18,window,66.55,1023.79,15.41,2026-03-08T01:25:29.696954625Z,-42
,heltec_v3,53.22,window,66.38,1023.78,15.67,2026-03-08T01:26:00.339080501Z,-41
,heltec_v3,52.52,window,65.03,1023.78,15.59,2026-03-08T01:26:30.96760922Z,-43
,heltec_v3,52.5,window,64.52,1023.79,15.66,2026-03-08T01:27:01.595427027Z,-43
,heltec_v3,52.38,window,66.15,1023.81,15.47,2026-03-08T01:27:32.261451756Z,-42
,heltec_v3,53.53,window,67.53,1023.84,15.33,2026-03-08T01:28:02.928378124Z,-43
