#group,false,false,false,false,false
#datatype,double,string,string,string,dateTime:RFC3339
#default,,,,,
,air_quality_band,air_quality_text,source,station,time
,2,Moderate,tfl_api,Gloucester Road,2026-03-19T23:16:53.530905841Z
,1,Low,tfl_api,Gloucester Road,2026-03-09T23:59:35.305282744Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T00:03:29.592975649Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T00:08:32.078681092Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T00:13:32.745161995Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T00:18:33.525986585Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T00:23:34.211010196Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T00:28:34.873207057Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T00:33:35.487027332Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T00:38:36.141444516Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T00:43:36.790727212Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T00:48:37.419670177Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T00:53:38.058162171Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T00:58:38.686870166Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T01:03:39.316438926Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T01:08:41.989914071Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T01:13:42.729818698Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T01:18:45.067051433Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T01:23:45.705950793Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T01:28:46.353723195Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T01:33:47.053882383Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T01:38:47.658053438Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T01:43:48.317347715Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T01:48:48.953900545Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T01:53:49.569098706Z
